A: 	dit zijn een heel erg druk bak met bovenop een soort van feesthoed 
A: 	wat hij hebben 
A: 	en linkerkant zitten nog een klein 
A: 	als je zo kijken als je ja dan lijken hij op een vogel , goed , ja 
B: 	ja 
B: 	misvormde kubus 
B: 	ja bovenop een driehoek 
B: 	ja 
B: 	ja dat zijn I 
A: 	ja dat zijn nummer elf 
B: 	deze hebben een driehoek bovenop 
B: 	en ja klein cirkel linksonder 
B: 	ding , spijker , kogel ja 
B: 	ja kogel ja 
A: 	de bak met het feesthoed 
A: 	aan linkerkant weer een een uitsteekselt 
A: 	rechterkant zitten een 
B: 	en een kogel links 
B: 	J 
A: 	nummer zeven 
B: 	deze hebben zo'n scherp driehoek bovenop en een kogel links 
A: 	het vogel met het feesthoed 
A: 	nummer negen 
B: 	kogel 
B: 	A 
B: 	deze hebben de scherp driehoek bovenop en een kogel links 
