A: 	hier zitten aan de bovenkant en aan de linkerkant dezelfde vorm en beetje zo'n ja hoe noemen ik het een soort handvat eigenlijk en aan de rechterkant zitten zo'n vierkant soort toren 
A: 	erdoorheen steken 
A: 	of doorheen erop 
A: 	en aan de achterkant zitten nog een klein ja nog een uitsteeksel 
A: 	dus twee dezelfde aan de bovenkant en aan de onderkant soort handvaet 
A: 	één aan de bovenkant en één aan de linkerkant 
A: 	ja ja 
A: 	een soort rond handvaten beetje ovaal langwerpig 
A: 	en aan de rechterkant zitten dat vierkant soort toren dus die steeds klein worden 
A: 	ja 
B: 	ah gaan best soepel dit 
B: 	ja 
B: 	okee 
B: 	ja 
B: 	okee 
B: 	dat zijn j 
A: 	ja negen 
B: 	even kijken horen deze hebben weer die vier kubus eraan aan de rechterkant en aan de bovenkant en aan de voorkant hetzelfde vormp 
A: 	dit zijn met die twee handvatt die haaks op elkaar staan 
A: 	ja 
A: 	negen 
B: 	eens even zoeken 
B: 	ja dat zijn d 
A: 	dit zijn die met die twee kegel haaks op elkaar 
B: 	deze hebben de vier kubus aan de rechterkant en twee dezelfde vorm 
B: 	waarvan één aan de bovenkant en één aan de voorkant 
A: 	veertien 
B: 	ja dat zijn b 
B: 	dit zijn dit zijn de de vier kubus aan de rechterkant en de twee gelijk vorm 
B: 	aan de bovenkant en de voorkant 
