A: 	oké bij mij hebben die twee USB's aan de rechterkant voor ons eruit komen en een neus en een soort van omdraaien boo op het op het hoofd 
A: 	ja ja ja 
A: 	negen 
A: 	yes 
B: 	en zeggen maar één zijn een isteken aan de zijkant 
B: 	ja 
B: 	I 
A: 	die twee USBsticken 
A: 	oké en dan 
A: 	en dan staartjeten onderin oké ja 
A: 	L twee 
A: 	oké USBstick boot op het hoofd 
A: 	vijf 
B: 	het zijn weer die met dat isteken aan de zijkant 
B: 	ja 
B: 	M 
A: 	twee daarvan 
A: 	welk 
A: 	B negen 
A: 	USBstick boot op het hoofd 
A: 	elf 
B: 	die met dat isteken 
A: 	ja 
A: 	H zes 
B: 	F 
B: 	de istek 
