A: 	er komen een uit een mok komen aan de bovenkant een ruitvormig figuur wat worden doorboren door een aantal vlak achter elkaar 
A: 	en aan de onderkant opsteken er een staaf uit wat deze vorm hebben zo 
B: 	ja hij hebben ook een neus en een dinge aan de zijkant 
A: 	en hij hebben ja er zitten nog twee ding aan aan en aan de bovenkant zijn het echt een ruit met vier ja met zo'n blok erdoorheen 
B: 	met dat gek blok zeggen maar de soort van bliksemschichtdinge 
A: 	ja ja 
B: 	oké 
B: 	dat zijn bij mij M 
B: 	dit zijn die heel dynamisch ook hebben een balk die er aan de voorkant uit opsteken hebben een ding wat er zo aan de onderkant uit komen een ding wat er zo uit komen 
B: 	zitten een zitten twee of tenminste nee zitten een een een een een een een vierkant wat op zijn kop een ruit 
B: 	die erin verdwijnen en dan twee van die klein wordende zeggen maar balk die er zo in gaan 
A: 	ja 
A: 	ja dus een ruit wat erin vallen 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	hoe noemen we deze ook alweer ? deze zijn met dat ruit die erin vallen waar al die blok doorheen gaan die blok gaan door dat ruit heen 
A: 	en dan komen er aan de onderkant zo'n staaf uit zo'n buigen staaf en aan de rechterkant zitten nog een armp of iets wat het ook mogen zijn 
B: 	ruit die die ruit die Erbovenin zitten daar daar gaan dat klein worden ding doorheen 
B: 	dat zijn bij mij H 
B: 	dit zijn die heel complex figuur met die ruit die erin zitten klein wordend vierkant bij mij zitten die links bovenin 
A: 	ja 
B: 	zitten zo'n dinge wat uitsteken zo'n L en dan weer zo'n ding 
A: 	ja er komen echt zo'n dinge onderuit 
B: 	ja ja 
A: 	ja 
A: 	dat zijn nummer elf 
A: 	dit zijn met die ruit die erin vallen met die blok erdoorheen 
B: 	ja 
A: 	onderaan dat ding en dan nog twee uitsteeksel 
B: 	dat zijn bij mij d 
B: 	en dit zijn die veel complex figuur met dat vierkantje wat erin vallen dat klein worden balk wat erin gaan 
A: 	ja 
B: 	die L aan de onderkant aan de zijkant en dan nog zo'n Pinokkioneus 
A: 	ja 
A: 	ja die ruit die erin vallen 
B: 	ja zo'n ruit ja 
A: 	ja 
A: 	veertien 
