B: 	het zijn die met met zo'n neus aan de voorkant 
A: 	bij jou zo'n bolle 
B: 	en dan zonder 
B: 	wat 
A: 	bedoelen je zo'n bolle 
B: 	ja 
A: 	ja 
B: 	en dan hebben die een soort van kegel op zijn hoofd en nog een plank 
A: 	die twee 
A: 	ja 
B: 	ja 
A: 	ja veertien 
A: 	ik hebben degeen met de bolletjesneus en de twee antenne 
B: 	waar één van een kegel zijn 
A: 	ja 
B: 	ja N 
B: 	het zijn die met die Neusachtig iets en dan hebben die twee uitsteeksel erbovenop en één aan de zijkant 
A: 	ja negen 
A: 	dit zijn degeen met de neus zonder piercing met twee antenne kegel bovenop 
B: 	ja G 
A: 	oké 
B: 	het zijn die met die neus en die twee uitsteeksel op zijn hoofd 
A: 	ja 
A: 	even kijken de in de piercing 
A: 	ja vijf 
A: 	dit zijn degeen met de neus en twee antenne 
B: 	ja ik weten welk je bedoelen even 
B: 	ja vinden 
B: 	J 
