A: 	even kijken dat zijn wel het beker met het driehoek daarboven 
A: 	wat zeggen maar wel echt een tipitent zijn 
B: 	ja 
A: 	aan de rechterzijde zijn er een soort gek blok wat eraan vastgeplakt zitten 
A: 	aan de linkerzijde zijn er ook een vormp wat een beetje op een driehoek lijken en daaronder zijn een soort cirkelachtig iets 
B: 	ja 
B: 	ja 
A: 	wat plakken zijn 
B: 	dan zijn het p 
A: 	ja 
B: 	dit zijn met die tipitent 
A: 	ja 
B: 	ja 
A: 	dus die helemaal tipitent 
A: 	of die afbreken 
B: 	ja 
B: 	helemaal 
A: 	helemaal 
A: 	okee dat zijn nummer dertien 
A: 	dit zijn de tipitent 
B: 	ja dat zijn d 
B: 	de heel tipitent 
A: 	ja nummer een 
B: 	ja 
B: 	ik denken al 
A: 	tipitent 
B: 	ja m 
B: 	heel tipitent toch 
A: 	heel tipitent ja 
B: 	okee 
B: 	dan zijn het m 
B: 	de heel tipitent 
A: 	die zijn nummer zes 
