A: 	ja ik weten niet waar ik dit op plaatsvinden lijken veel een soort van bak met zo het zijn een de die basisvorm en er zitten dan aan de zijkant zitten van die twee van die ding en er zitten bollet aan het uitein 
A: 	aan de achterkant zitten een schuin 
A: 	oké zijn goed 
B: 	o ja een soort van schermpje aan de achterkant waar ja dat zijn K 
A: 	ja zijn dat diegene met die twee stokk met die bollet 
A: 	oké ja dan zijn het nummer negen 
B: 	deze hebben zegmaar weer dat liggen schermpje er achter en twee uitstekend ja wat zullen je het kunnen noemen spijker iets in die richting 
A: 	dit zijn diegene met die twee uitstekend stok met die bollet ik weten niet wat jij daarop vinden lijken 
A: 	wachten 
A: 	ja 
B: 	even kijken waar die staan F 
A: 	ze gaan weer veranderen wat leuk 
A: 	wat welk zijn dat ook alweer 
A: 	ja theepot en gieter 
A: 	zeggen maar twee van die arm en zo'n bollet zo 
A: 	dat zijn zo'n ah 
A: 	oké nummer drie 
B: 	o jee 
B: 	deze hebben zegmaar dat liggen schermpje en twee van die spijker aan beide kant 
A: 	deze vinden je op een theepot lijken 
A: 	we gaan weer switchen 
A: 	ja 
A: 	even zoeken 
A: 	kunnen hem niet ja vijf 
B: 	even voorkijken L 
B: 	twee spijker aan de zijkant liggen schermpje achter 
