A: 	hier zitten zeggen maar twee staf in een kort en een lang met een bolle aan de aan de uiteinde 
A: 	en er staan nog iets van een vierkant achter 
A: 	op een stok 
A: 	ja welk vorm hebben ze een beetje vierkant vijfhoek zoiets 
A: 	zeggen maar er zitten twee van die ovaalt aan de uiteinde van de staven 
A: 	het zijn best wel groot staven 
A: 	daarachter zitten zeggen maar een plat vierkant maar hij lijken op een ruit 
A: 	als je er zo naar kijken die zien je zien hem maar voor de helft 
A: 	ja klopt dat hebben ik niet zeggen 
A: 	nee links en rechts ja en daarachter zo'n gek ruitding 
A: 	ja inderdaad ja 
B: 	ja ja 
B: 	ja een soort van zonne-energiepaneeltje aan de achterkant ja 
B: 	ik weten het anders ook niet ja 
B: 	okee ja ik denken ik hem wel weten 
B: 	ik gaan voor c 
A: 	ja yes 
A: 	met die vierkant en dat rechthoekding 
A: 	ja dat zijn nummer tien 
A: 	dit zijn die met die twee stokk met die bal aan de uiteinde met die rechthoek nee wat zijn het een ruit erachter 
A: 	weten je nou ja 
B: 	ah ja 
B: 	ja hier dit zijn het kop waar zelf niks op zitten zeggen maar 
B: 	maar waar aan de achterkant een soort van rond staaf liggen met uiteinde bollet 
B: 	en een een een zonne-energiepaneeltje weten je nog 
B: 	ja 
A: 	ja en erachter nog ja 
A: 	prima dat zijn vier 
A: 	dit zijn die met die twee staf met die bal aan het uitein en daarachter een ruit 
B: 	ja 
B: 	alright dan gaan ik voor a 
A: 	ja dat zijn zes 
B: 	kop met aan de achterkant een hoe heten het een soort pen met met bollet aan de aan beide kant en een zonnepaneel 
B: 	ik gaan voor b ja 
B: 	nou ja 
B: 	zonne-energiedakje 
