B: 	oké deze staat op een driehoek met een draaien ding naar dat mokje toe zeggen maar 
B: 	en aan de bovenkant zitten er twee vierkant uit en aan de linkerkant iets Scheefs 
A: 	alright 
A: 	jij 
A: 	ja ja ja ja ja ja ja 
A: 	zeggen maar de enig die echt nog zo lang zijn 
A: 	oké en dan boven zoiets en dan zo'n vierkan 
A: 	oké 
A: 	dan hebben ik nummer vier 
B: 	ja ja 
B: 	ja 
B: 	ja 
B: 	oké 
B: 	dat zijn A 
A: 	dit zijn die dit kunnen eigenlijk een trofee zijn trouwens 
A: 	weten je met met met dat driehoekplatformen zeggen maar en dan 
A: 	dat zijn eigenlijk wel jij moeten drukken 
B: 	oké ik hebben diegene die op een driehoek staan met draaien ding 
B: 	ja 
B: 	ja dat zijn L 
B: 	ik hebben diegene met de driehoek en dan draaien en daarop staan die mok 
A: 	ja 
A: 	tien 
B: 	ja dat zijn F 
A: 	die die trofee 
A: 	met dat driehoekplatform 
A: 	vier 
A: 	de trofee met dat driehoekplatform 
