A: 	er zitten een groot lepel in het midden 
A: 	en rechts zitten soort van vierkantje 
A: 	een rechthoek zegmaar en link zitten een rond staaf 
A: 	en er zitten aan de achterkant ook nog iets 
B: 	even kijken ik hebben hem nog niet 
A: 	even kijken 
B: 	zitten een groot lepel in het midden 
A: 	ja bovenin zegmaar 
B: 	ja 
A: 	en dan zitten er dus rechts een langwerpig vierkant staaf zegmaar die een beetje van dik van dun naar dik gaan 
B: 	ja 
B: 	en link zitten ongeveer dezelfde staaf lijken er een beetje op 
A: 	ja 
B: 	en achter zitten een raar staart geval 
A: 	ja 
B: 	oké H 
B: 	een pixelachtig ding aan de rechterkant 
B: 	soort van lepel in de kop 
B: 	en het voelen alsof link dezelfde soort figuur ook zitten 
B: 	aan de achterkant soort van staart 
B: 	dus twee keer hetzelfde figuur , één keer alsof het in het kop gaan 
A: 	ja 
B: 	en een keer aan de linkerkant een beetje aan de schuin onder 
A: 	en dan ja zo'n vierkant ding weer aan de zijkant en een staart aan de achterkant 
B: 	ja 
B: 	die steeds bred worden 
A: 	ja 
A: 	vijfteen 
B: 	ja 
A: 	voor of een groot lepel bovenin 
A: 	rechts zo'n pixelachtig dinge 
A: 	link een rond dinge en aan de achterkant nog een staart 
B: 	ja 
B: 	ja twee gelijk figuur 
B: 	van bovenin en linksvoor 
B: 	zijn ongeveer gelijk vorm 
A: 	ja 
B: 	ja oké 
B: 	F 
B: 	twee dezelfde rond vormp , ééntje bovenop en één linksvoor , pixelachtig ding aan de rechterkant , en een slurf naar achter lopen 
A: 	ja 
A: 	ja drie 
A: 	aan de bovenkant en aan de linker zijkant hetzelfde figuurt 
B: 	ja 
B: 	E 
B: 	twee gelijk vorm , boven en linksvoor 
A: 	ja 
A: 	en vierkant voorop 
B: 	ja 
A: 	twaalf 
