B: 	ja ik weten welk je bedoelen 
B: 	dat zijn K 
B: 	deze hebben weer zo'n doorlopen staaf met aan het einde een bol en aan de ander kant ook het einde een bol 
A: 	ja ik noemen deze het kanon omdat het een soort van het zijn een soort kop en er gaan iets aan de ander kant in en er komen ook aan de ander kant weer uit 
B: 	en een soort schuin plaat link 
B: 	ja 
A: 	met een soort van afdak aan de ander ja die die soort van spijker die er helemaal doorheen staan met een soort van raar afdak aan de linkerkant 
A: 	ja 
A: 	en dan komen die aan de ander kant weer uit 
A: 	een rond plateau 
A: 	ik bedoelen bij mij zijn het een kop 
A: 	net zoals altijd 
A: 	en daar komen aan de linkerkant een soort van spijker in 
A: 	die aan de rechterkant er weer uit gaan 
A: 	en daarboven steken boven dat steken nog een soort van raar afdak uit zo'n scheef ding wat naar boven wijzen 
A: 	ja van die ronde van die rond halfron zijkant 
A: 	ja zo'n raar een soort van ja ik noemen het afdak of zo het zijn een beetje 
A: 	ja 
A: 	het zijn een beetje een raar figuur wat ik niet echt heel goed snapen 
A: 	nee die noemen ik niet de gieter 
A: 	die nee de de deze noemen ik niet de gieter 
A: 	hebben we dan echt wel dezelfde 
A: 	er gaan aan de een kant een halfrond ding in 
A: 	ja 
A: 	ja ongeveer ja en die die die en die ding zijn vrij rond en er zitten een soort van ja rond op 
A: 	ja ja dus dan hebben we het wel hetzelfde ding want volgens mij hebben geen enkel ander dat 
A: 	oké 
B: 	ja 
B: 	ik zijn hem even aan het zoeken 
B: 	ja dat zijn bij mij F 
B: 	die doorlopen staaf met die boll aan de zijkant 
B: 	en die plank schuin 
A: 	ja en dat afdak ja 
A: 	dat zijn numero negen 
B: 	L 
A: 	nou dit zijn mijn kanon met het raar afdak 
B: 	die met die strokk staaf met die twee boll aan de zijkant 
A: 	het afdak ik zoeken hem even op 
A: 	dat weten ik niet ik zoeken hem even op 
A: 	waar zijn dat ding 
A: 	ja numero drie 
A: 	het kanon met af afdak 
A: 	ja ik zoeken hem even op 
A: 	dat zijn numero vijf 
