A: 	het lijken net of dat die een hoedje op hebben zeggen maar zo'n vierkant zo'n feesthoed 
A: 	ja aan de een kant hebben je zo'n heel groot blok aan de ander kant hebben je een heel klein klein driehoekje nog erachter en onder lijken wel een wiele of zo of wat het ook precies zijn 
B: 	dat zijn een driehoek op zijn kop 
B: 	en aan de zijkant aan de linkerkant zien je daar een beetje zo'n 
B: 	ja een kogel 
B: 	ja 
B: 	J 
A: 	waar zijn die ? ja wat ik wat zeggen ik ook weer eens ? papier feestmuts of zo nee klpen ja 
A: 	ja zes 
B: 	dit zijn die met die piramide boven op zijn kop 
B: 	ja 
A: 	dit zijn met die papier hoedje 
A: 	en die groot of het zijn geen afbrokkelen vierkant neus 
B: 	ja 
B: 	E 
A: 	papier hoedje ja 
A: 	tien 
B: 	die met de driehoek bovenop en de kogel 
B: 	aan de zijkant 
A: 	dit zijn het het feesthoed het papieren hoed zeggen maar 
B: 	die kogel en de driehoek Bovenin 
A: 	ja 
A: 	tien 
