B: 	dit zijn die met die staart in principe van die ruit 
B: 	ja 
A: 	ja en zitten daar zo'n soort van zo'n ding aan 
A: 	of niet 
A: 	gewoon een vierkant onderplaat waar die op staat en zitten er dan drie van die van die kralen eigenlijk zeggen maar 
A: 	dus eerst drie kra en dan drie krael aan die kant en dan zo'n cirkel met zo'n ding aan de zijkant 
A: 	ja die snapen ik dat zijn bij mij vijf 
A: 	of nee wachten ja dat zijn vijf ja 
B: 	ja 
B: 	dat zijn J 
B: 	het zijn die met die staart of uitsteeksel met die ruit 
A: 	dit zijn die een met die ieder keer drie krael aan de zijkant zeggen maar met dat rond dinge als neus aan de voorkant met op dat vierkan 
B: 	ja P 
A: 	ja die dat telraamdinge die eruit komen zeggen maar met dat rond ding als neus 
A: 	ja dat zijn bij mij elf 
B: 	het zijn die met die staart of 
A: 	dit zijn die een met die drie kra die aan allebei de kant eruit komen met die cirkel aan de voorkant op dat vierkant 
A: 	met die drie kra ja 
A: 	nummer negen 
B: 	ja L 
A: 	degeen met die drie krael aan allebei de kant 
A: 	en op dat vierkant plateau ja 
