A: 	deze zijn hebben echt een een scherp piramide bovenop 
A: 	met nog een gek soort vierkant driehoekdinge aan de zijkant en 
B: 	ja een soort van kogel of niet 
A: 	ja ik weten niet eens wat het voor moeten stellen maar 
B: 	ja ja die vinden ik ook echt heel raar 
B: 	ja dat zijn J bij mij 
B: 	weer met dat soort van piramide op zijn hoofd en die soort van kogel aan de zijkant 
A: 	oké 
A: 	ja 
A: 	inderdaad en dat een piele nog klein kogelpiele aan de ander kant 
B: 	ja 
B: 	ja en een gek hoek 
A: 	ja 
A: 	nummer zes 
B: 	right 
A: 	dit zijn weer met die puntig piramide aan de bovenkant en dan dat groot blokkie aan deze kant en het klein kogelpiele aan die kant 
B: 	ja 
B: 	ja dinge 
B: 	dat zijn E bij mij 
A: 	top 
B: 	top 
B: 	het zijn weer die piramide op zijn hoofd en dan een soort van kogelachtig aan de zijkant 
A: 	ja 
A: 	ja 
A: 	waar zijn die ? tien 
A: 	oké deze hebben weer die piramide bovenop en dan die kogel aan één kant 
B: 	ja dat zijn G 
B: 	nice 
B: 	ik weten ook gelijk wat je bedoelen toen je piramide zeggen 
A: 	en met de 
A: 	er zijn ook geen ander die dat doen hebben 
B: 	nee kloppen 
B: 	ander plek 
B: 	piramide op zijn hoofd 
B: 	en de kogel aan de zijkant 
A: 	tien 
