A: 	oké deze hebben een piramidehoed bovenop 
A: 	en dan nog een heel groot massief stuk aan de rechtervoorkant 
A: 	die 
A: 	ja 
B: 	dat zijn een driehoek op zijn kop 
B: 	en aan de zijkant aan de linkerkant zien je daar een beetje zo'n 
B: 	ja een kogel 
B: 	ja 
B: 	J 
A: 	ja 
A: 	even kijken horen 
A: 	ja vinden 
A: 	zes 
B: 	dit zijn die met die piramide boven op zijn kop 
B: 	ja 
A: 	dit zijn die met het piramidehoedje en dat groot blok 
A: 	ja dat zijn tien 
B: 	ja 
B: 	E 
A: 	dit zijn die met de piramide 
A: 	hoed 
B: 	die met de driehoek bovenop en de kogel 
B: 	aan de zijkant 
A: 	dat zijn tien 
B: 	die kogel en de driehoek Bovenin 
