B: 	deze hebben een soort van bol erop het zijn diegene met die bol maar dan zonder die staaf erdoor 
B: 	zeggen maar ertegenaan niet erop 
A: 	wachten even hoor hij hebben een bol bovenop 
B: 	niet bovenop er 
A: 	niet bovenop 
B: 	er op de zijkant zeggen maar 
A: 	en hij hebben niet de staaf erdoor en hij hebben twee van die dinge boven 
B: 	ja en nog één 
A: 	en nog één aan de zijkant 
B: 	ja 
A: 	oké dan zijn het nummer veertien 
A: 	deze hebben boven twee verschillend een rechthoek en een soort bowlingkegel 
A: 	en hij hebben een groot dik bol aan de rechterkant 
B: 	dat zijn bij mij N 
B: 	die met die bol op de zijkant 
A: 	met die bol op de zijkant en die twee dinget boven 
B: 	ja 
A: 	oké dat zijn bij mij negen 
A: 	deze zijn weer met dat die rechthoek en die soort kegel bovenop en dan die heel dik bol aan de rechterkant 
B: 	event zoeken 
B: 	G 
B: 	dit zijn weer met die bol aan de rechterkant en die twee dinge naar boven 
A: 	ja die twee dinget zijn niet hetzelfde 
B: 	nee 
A: 	oké dan zijn het bij mij nummer vijf 
A: 	deze hebben die twee dinget bovenaan 
A: 	die kegel en dat die rechthoek en die groot bol aan de rechterkant 
B: 	J 
