A: 	deze hebben een driehoek bovenop een beetje naar de achterkant 
A: 	helemaal voorop hebben die ja wat zijn het ? soort trapeziumen maar niet helemaal recht 
A: 	en aan de onderkant zitten een cirkel ja die 
B: 	een rond 
B: 	ja links zo'n soort uitschuiftelescoop 
A: 	ook nog iets ja 
B: 	ja 
B: 	dat zijn de letter J 
B: 	even kijken deze hebben dat plat of driehoek boven uitsteken en de telescoop aan de zijkant aan de linkerkant 
B: 	de 
A: 	ja check dat zijn zes voor mij 
B: 	oké 
A: 	dit zijn die met de driehoek een beetje boven aan de achterkant en de telescoop links 
B: 	ja dat zijn E voor mij 
B: 	dit zijn die met het het plat driehoek bovenop en de telescoop aan de linkerkant 
A: 	yes dat zijn tien voor mij 
A: 	dit zijn die met de driehoek bovenop en de telescoop links 
B: 	ik weten welk je bedoelen 
B: 	ja 
B: 	dat zijn G 
B: 	het plat driehoek met de telescoop 
A: 	die zijn ja dat zijn nummer tien voor mij 
