B: 	ja ik weten hem 
B: 	g 
B: 	okeeen ik hebben een een balle dat bovenop liggen met niks niks erin en dan een een langwerpig rechthoekig staaf aan de voorkant 
A: 	nou hebben ik er weer een 
A: 	deze lijken een beetje op de korf van een korfbal 
A: 	of zo'n korfbal korf 
A: 	met de bal op de korf die er zo ieder moment in kunnen gaan vallen 
A: 	met aan linkerkant een iets lang haakjeten en aan de rechterkant een iets kort uitstulpink 
A: 	ja dat zijn die staaf zegmaar van die van de 
A: 	van de van de korf ja 
A: 	ik weten niet 
A: 	ja 
B: 	ja 
B: 	d 
B: 	ik hebben bovenop een bal met niks erop en dan linkerkant zo'n dinge naar je toe wijst weten je wel die hoek naar je toe wijzen 
A: 	oké 
A: 	ja 
A: 	dat zijn die korfbalkorf een beetje 
A: 	ja 
A: 	dat zijn tien 
B: 	ja 
B: 	à 
B: 	de de bolle bovenop met niks eraan en dan dat dinge linkerkant dat naar je toe wijst weten je die draaien 
A: 	dit zijn de , hoe zeggen je dat nou , handbalkorf , met de vallen bal 
A: 	ja 
A: 	ja ja ja even kijken elf 
A: 	dit zijn weer de de korfbalmand met de met de bal 
A: 	aan de rand 
A: 	ja 
A: 	vijf 
