B: 	deze vinden ik heel moeilijk de omschrijven 
B: 	aan de achterkant van het kop hebben hij een soort van kapstokhaakje 
A: 	ah 
B: 	en aan de voorkant 
A: 	zitten er ook een soort balk aan de bovenkant dwars doorheen 
B: 	ja 
B: 	ja 
A: 	een soort plaat 
B: 	ja 
A: 	ja dan zijn het duidelijk nummer vijf 
B: 	ja 
B: 	ja 
A: 	dit zijn weer de plaat die bovenaan van het beker erdoorheen zijn geschoven 
B: 	ja 
B: 	die twee cilindervormig wat zijn het rechthoekigvormig klein uitsteekseltjes aan de bovenkant 
A: 	ja daaronder ja 
B: 	ja 
B: 	dat zijn g 
B: 	okee 
B: 	dit zijn het kapstok aan de achterkant met die schijf aan de bovenkant 
B: 	het lijken een beetje op een tafel zo 
A: 	ja 
A: 	dat zijn nummer tien 
A: 	dit zijn de plaat die aan een soort tafel inderdaad die aan de bovenant van het beker met het met een soort ja kapstok 
B: 	ja 
B: 	kapstok 
B: 	yes 
A: 	de kapstok 
B: 	dat zijn d 
B: 	kapstok linkerbovenkant en plateau aan de bovenkant erdoorheen 
A: 	ja 
A: 	zes 
A: 	ja 
B: 	ja 
A: 	dit zijn het tafel wat door het beker heen zijn met het kapstok 
B: 	ja ik weten wat je bedoelen 
B: 	dat zijn a 
