A: 	oké ik hebben nu dat plaat met die twee ja aan de onderkant zitten een soort van uitstekend buigen 
A: 	Buis en aan de rechterkant ook 
A: 	en aan de voorkant steken schuin naar voren een soort zeshoek 
A: 	en aan de bovenkant zien je twee plat ruiten soort van en die worden dan doorkruissen weer door zo'n kubus die steeds groot worden 
B: 	ja 
B: 	dat zijn bij mij M 
B: 	deze zijn die met die twee soort van rui erbovenop met vierkant erdoorheen 
A: 	ja 
B: 	en en onder opsteken nog iets uit en aan de rechterkant nog twee ding 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	dit zijn die een met die soort van twee ruit bovenop en dan aan elk ruit zo'n uitdijen kubus 
B: 	ja 
A: 	en onderaan en rechts zo'n staaf of ja zo'n buis die uitsteken en ook nog een 
A: 	staaf aan de voorkant die zo naar rechtsvoor uitsteekt 
B: 	ja 
B: 	dat zijn bij mij H 
B: 	dit zijn met die rui aan de bovenkant 
A: 	ja met die uitdijen kubus zeggen maar 
B: 	met die vierkant erdoorheen 
B: 	ja 
A: 	ja dat zijn nummer elf 
A: 	deze hebben die twee 
A: 	ruit bovenop waar dan die uitdijen kubus aan beide kant uit steken en onder die buis en rechts die buis en dan nog dat staaf 
B: 	ja 
A: 	die uitsteken 
B: 	dat zijn bij mij d 
B: 	dit zijn met die twee rui aan de bovenkant met die uitdijen vierkant 
A: 	ja dat zijn nummer veertien 
