B: 	ja ja dat zijn ja ik weten hem 
B: 	J 
A: 	deze nou ja ik weten niet wat ik het moeten noemen maar het lijken een beetje zegmaar op een soort van handvaet 
A: 	die aan beide kant zitten 
A: 	en er zitten een schuin omhooggaan plaat achter zo schuin achter 
A: 	oké 
B: 	ik hebben een soort van zonnepaneel aan de achterkant weten je wel 
B: 	en een staaf aan de rechterkant en een gelijkwaardig staaf die wat kort en dikk zijn aan de linkerkant 
A: 	ja ja ja ja 
A: 	ja precies 
A: 	dat zijn zeven 
B: 	zonnepaneel zijn het ja f 
B: 	f 
B: 	okeeen ik hebben dat zonnepaneel aan de achterkant en die twee staf links en rechts 
A: 	oké dan krijgen we weer diegene met zo'n schuinaflopen bord erachter 
A: 	en met twee van die ja zo'n paal die er doorheen lijken te zitten 
A: 	ja 
B: 	zonnepaneel 
B: 	h 
A: 	ja 
A: 	ja vijf 
B: 	ja f god 
B: 	de zonnepaneel aan de achterkant 
A: 	ja dit zijn weer met dat schuinaflopen bord 
A: 	en die paal ja 
A: 	oké 
A: 	ja waar zijn hij 
A: 	even kijken 
A: 	ja daar negen 
