B: 	ja ik zullen het weer in koffiebekert omschrijven 
B: 	dus ik hebben het omschrijven als een koffiekopje met een ei ervoor 
B: 	zonder iets door dat ei heen 
A: 	ja 
B: 	het hebben ver twee lepelt in het koffiekopje 
B: 	en er zitten weer een klein ja een beetje driehoekig uitsteeksel aan 
A: 	ja 
A: 	en de ding die erin hangen één zijn een beetje staafachtig en de ander een beetje een penseel kwastachtig ding 
B: 	ja 
B: 	dat zijn hem 
A: 	ja 
A: 	dat zijn nummer veertien 
A: 	dan hebben ik de koffiebeker met de ei zonder iets erdoorheen aan de voorkant 
A: 	en link steken een een driehoek iets uit 
B: 	met twee lepelt 
A: 	met de staaf en de penseel Erbovenin 
B: 	ja 
B: 	ja dat zijn letter N 
B: 	het koffiekopje met een een penseel uitstekend een staaf een ei vooraan 
A: 	dat ei hebben een staaf erdoorheen 
B: 	nee 
A: 	oké die twee aan de bovenkant en de driehoek link 
B: 	dat ander 
B: 	met die twee aan de bovenkant 
B: 	ja 
B: 	driehoek link 
A: 	oké 
A: 	het ei 
A: 	dat zijn nummer negen 
A: 	ei aan de voorkant 
A: 	twee ding erin om te roeren 
A: 	en nog een driehoek aan de zijkant 
B: 	ja dat zijn letter G 
B: 	dat kop met de ei als neus een penseel als roerstaafje en een ander staaf erbij en een driehoek 
B: 	aan de linkerkant 
A: 	ja hebbes 
A: 	nummer vijf 
A: 	ei aan de voorkant iets rechts 
A: 	driehoekig aanhangsel en twee ding van bovenaf erin 
B: 	door het ei heen 
A: 	nee 
A: 	niks door het ei heen 
A: 	en twee ding aan de bovenkant erin een staaf en penseel 
B: 	weer die 
B: 	die hebben we vaak hebben 
B: 	met dat driehoek aan de linkerkant 
A: 	ja 
B: 	ja 
A: 	we hebben ze allemaal even vaak hebben als het goed zijn 
B: 	ja waarschijnlijk wel 
B: 	letter J 
B: 	sommig blijven hangen denken ik 
