A: 	het zijn het degeen met het driehoekje bovenop 
A: 	volgens mij zijn dat er maar één 
A: 	ja 
B: 	ja 
B: 	zijn gewoon prisma 
B: 	ja dat zijn J 
A: 	ja even zoeken 
A: 	ja nummer zes 
B: 	deze hebben zegmaar een driehoek bovenop soort van hanekam jij zeggen net een hamekam dan weten je denken ik welk ik bedoelen 
B: 	ja 
A: 	dit zijn degeen met de driehoek bovenop 
A: 	ja tien 
B: 	E 
B: 	zo met die hanekam dat gek prisma vooraan half rond 
A: 	dit zijn de driehoek bovenop 
A: 	staan bij mij helemaal links Bovenin 
A: 	oké 
A: 	driehoek 
A: 	bovenop ja 
A: 	tien 
B: 	even kijken 
B: 	en dat half rond linksonderin G 
B: 	hanenkam gek prisma aan de voorkant 
