B: 	ja dat zijn J 
A: 	kop 
A: 	en er zitten een driehoek op 
A: 	die zijn helemaal af 
A: 	ja 
A: 	klein piramide 
A: 	ja een klein 
A: 	ja precies dus 
A: 	ja 
B: 	dit zijn het kop met het driehoekje aan de bovenkant en 
B: 	zo'n oplopen kubus aan de linkerkant en het wiel aan de Linkeronderkant 
B: 	en de vlieger aan de rechterkant 
A: 	ja 
A: 	dat zijn zes 
B: 	dat zijn E 
B: 	dit zijn die met de met de driehoek erop 
B: 	de het groot worden kubus aan de linkerkant wieltje en de vlieger 
A: 	mijne hebben een zitten een driehoek op mijn 
A: 	er zitten een driehoekje op 
A: 	daar zijn er maar ook maar één van 
A: 	ja precies 
A: 	precies 
B: 	ja dat zijn G 
A: 	ja 
A: 	met de raar vorm aan de voorkant die ik niet kunnen uitleggen 
A: 	dat zijn tien 
B: 	dit zijn met de vlieger 
B: 	en de driehoek erbovenop 
B: 	ja 
A: 	en hij zitten helemaal nee sorry het zijn die een met de driehoek erop 
A: 	ja rotzooi eronder 
A: 	ja 
A: 	ja ja 
A: 	waar de driehoek op staat 
A: 	ja die 
A: 	ja en de rond rotzooi eronder 
A: 	tien 
