B: 	dit vinden ik een soort van tafel die erdoorheen zijn steken 
A: 	ik hebben volgens mij precies hetzelfde inderdaad en dan zitten er nog een soort van ander uithengsel ook 
B: 	ding en er zitten een bak bovenop 
A: 	en er zitten ja er zitten een bak ja 
B: 	ja 
A: 	ja ik hebben precies hetzelfde inderdaad zestien 
A: 	dit zijn de tafel die door het komme heen gaan 
A: 	met met ook met een bak erop 
B: 	met een bak erop P 
B: 	dit zijn de tafel die erdoorheen steken de groot tafel met een bak erbovenop 
A: 	oké ja dat zijn one's veertien 
A: 	dit zijn de tafel die erdoorheen zitten met het komme er ook op en dat dinge aan de zijkant nog 
B: 	oké 
B: 	N 
B: 	dit zijn de groot tafel met een bak erop 
A: 	ja met met ja ja die tien 
A: 	dit zijn de tafel met de bakkie erop die in de kom zitten 
B: 	ja 
B: 	d 
