B: 	oké ik hebben het vierkant dus jij moeten dan drukken 
B: 	even kijken 
B: 	ja denken het wel 
B: 	kijken bij mij zitten er zeggen maar als het een gezicht zullen zijn zullen hier zo'n zo'n steel zitten 
A: 	staan het op op een soort van houder 
B: 	en en een lang neus 
A: 	en dan één en dan een soort iets erin 
A: 	aan de bovenkant zo'n soort van flubbel 
B: 	ja ja ja zoiets 
A: 	ja 
B: 	even kijken 
A: 	oké 
A: 	oké ik denken dat ik weten welk het zijn 
A: 	dat zijn bij mij nummer dertien 
B: 	nee het zijn geen oort 
A: 	geel knop dan nu toch 
B: 	er zitten nog wel een ander vorm aan 
B: 	maar als ik die opnoemen dan hebben ik zeggen maar alles al beschrijven 
B: 	ja 
B: 	kunnen je nog 
B: 	ja kunnen je nog iets beschrijven zodat ik zeker weten dat je hem hebben 
B: 	Legoblok wat voor Legoblok 
B: 	ja 
B: 	ik denken ik denken niet dat we dezelfde hebben 
B: 	even kijken 
B: 	want we hebben we we hebben allebei dezelfde plaat precies dezelfde plaat 
B: 	ja het zijn het zijn zeggen maar 
B: 	ja of of een een waterdruppel zeggen maar 
B: 	ja echt bovenop 
B: 	nee nee maar één 
B: 	maar één ja 
B: 	ja 
B: 	ja ja ja ja dan hebben we dezelfde 
B: 	dan moeten jij drukken 
B: 	denken ik 
B: 	ja 
B: 	oké bij mij zijn het G 
B: 	drukken en en dertien zeggen geloven ik 
A: 	deze die hebben dat zijn die een die op dat houder staan 
A: 	met dus een neus aan de linkerkant en een rond iets aan de achterkant 
A: 	ja 
B: 	en die die neus 
B: 	ja 
B: 	O 
A: 	weer een nieuw 
A: 	ja dat zijn acht 
B: 	ja hebben jij nu ook de veel plaat aan één kant 
B: 	ja 
B: 	bij mij zijn het die met die soort cirkel en dan ook weer zo'n waterdruppel 
B: 	bovenop 
B: 	en dan weer zo'n lang neus 
B: 	een soort boomstam 
B: 	nee geen blok 
B: 	nee geen hand 
B: 	je hebben zeggen maar boven op op aan de bovenkant hebben je één zo'n waterdruppel 
B: 	en aan de rechterkant en aan de linkerkant zitten zo'n half cirkel 
B: 	ja 
A: 	dit zijn die op dat houder 
A: 	met dat rond erachter 
A: 	even zoeken 
A: 	dat zijn zeven 
B: 	even zoeken 
B: 	waar staan die 
B: 	ah hier 
B: 	C 
A: 	dit zijn die op het houder met dat rond erachter 
A: 	oké 
A: 	ik denken het 
B: 	die met die druppel en die nek en die half cirkel Bovenin 
B: 	C 
B: 	nou dit zijn het 
B: 	ja ik denken het ook alleen die 
