B: 	nou het dit zijn een kop er zitten een soort van plank aan met een omgekeerde lampenkap erop 
A: 	en aan die plank zitten steken ook twee ding naar naar beneden uit alsof het een soort van tafel zijn dat zijn zestien voor mij 
B: 	ja ja ja ja ja 
B: 	precies 
B: 	ja 
A: 	oké deze hebben de het dienblad voor zich met de poot aan de onderkant 
A: 	en en de en de omgekeerde lampenkap erop zeggen maar 
B: 	ah P 
A: 	ja 
B: 	het zijn weer die een met de plank met de lampenkap 
A: 	even kijken waar staan die ? ja met de twee poot eronder 
B: 	ja 
A: 	yes dat zijn veertien 
A: 	oké dit zijn weer het dienblad met de omgekeerde lampenkap erop 
A: 	en de poo onder het dienblad 
B: 	N 
B: 	en ja het zijn weer de plank met de lampenkap 
B: 	en de twee balk eruit 
A: 	dat zijn tien 
A: 	dit zijn weer het het dienblad met de omgekeerde lampenkap erop 
A: 	en de poot aan de onderkant van het dienblad 
B: 	d 
