A: 	ja en rechts zitten een rechts zitten ding met dat naar boven wijzen 
A: 	ja 
A: 	zestien 
A: 	deze hebben die liggen balk bovenop 
A: 	en de half pyramide aan de linkerkant en dan dat een klein scherp ding aan de rechterkant 
A: 	waar we het net over hebben aan het einde 
B: 	ja deze zijn een beetje compact 
B: 	aan de bovenkant hebben hij een gewoon rechthoekig staaf horizontaal 
B: 	en links ja een figuur die ik bee ja zijn een beetje rond maar 
B: 	geen bal en rechts zitten ook iets maar dat zijn ook een soort goo 
B: 	ja 
B: 	rechtop 
B: 	ja 
A: 	wel duidelijk 
A: 	aan de linkerkant 
A: 	dat scherp ding aan de rechterkant 
A: 	ja 
A: 	zijn nummer een 
A: 	ik hebben de een met dat scherp ding aan de rechterkant 
A: 	met die half pyramide en dat balkje bovenop 
A: 	dat gek scherp ding aan de rechterkant 
A: 	met zeggen maar aan de linkerkant dat die half rond pyramide met daar de bovenkant eraf 
A: 	en dan dus scherp 
A: 	ja de 
A: 	zeven 
A: 	ik hebben dat scherp ding aan de rechterkant en die half pyramide links 
B: 	stok 
B: 	en een staaf bovenop horizontaal 
B: 	ja 
B: 	dat zijn G 
B: 	dit zijn weer een beetje die compact , dat er rechts een goo zijn , en links zo'n uh , ja , rond iets achtig , bovenop een horizontaal staaf 
B: 	ja 
B: 	staaf bovenop 
B: 	ja 
B: 	E 
B: 	dit zijn die compact staaf , horizontaal bovenop , goot rechts waar een pijpje bovenop staan 
B: 	ja M 
