A: 	en zijn dat aan de bovenkant of aan de onderkant want je hebben er twee 
B: 	alright deze die zijn een beetje deze hebben best wel veel verschillend object 
A: 	ja maar daar hebben je er ook twee van 
B: 	je uitzien misschien op je scherm ook wel dat er een kop kop koffiekopje zijn die op een soort van onderzetter staan 
A: 	toch 
A: 	één die zitten veel boven aan het beker en één zitten veel onder aan het beker 
A: 	aan de onderkant 
B: 	bij deze lijken het alsof die door de onderzetter heen zijn zakken 
A: 	dan zijn het nummer veertien 
B: 	en nou ja je hebben aan de aan de linkerkant zeggen maar een soort van haak 
B: 	bovenop lijken het soort van twee klein schoorsteen of hoe je het ook willen noemen en echt een beetje een slurfneus 
B: 	ik denken toch een beetje in gezicht dus 
B: 	ja 
A: 	dit zijn de plaat die weer beetje redelijk onderaan door de door het kop zijn steken 
A: 	weer van die twee van die pun bovenaan het beker 
A: 	ja net net hebben ik die boven die plaat die daar bovenaan zijn 
A: 	maarja nu zijn het in ieder geval onderaan 
A: 	dus dan moeten je hem nu goed doen ja 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer acht 
A: 	ja dit zijn dus weer die plateau die door aan de onderkant door het ding zijn met ook weer twee van die identiek balk 
B: 	ja 
B: 	ja 
B: 	dat zijn g 
B: 	deze zijn door het onderzettertje heen zakken hebben een slurfneus en een haak aan de linkerkant 
A: 	ja ik weten wat 
A: 	ja 
A: 	ja 
A: 	zestien 
A: 	roken ballerina 
A: 	weer die plaat die aan de onderkant doorheen zijn gaan 
B: 	ja 
A: 	niet op de onderkant maar daar vrij onderaan met die twee steelt 
A: 	de de dansen ballerina die 
B: 	ja nou moeten ik ook zoeken waar zijn die door het door het plateau heen zijn 
B: 	ja precies 
B: 	p 
B: 	deze hebben een slurfneus zijn door zijn onderzetter heen zakken 
B: 	en hij hebben een haak 
B: 	dat zijn l 
