B: 	oké deze hebben een soort van neus aan de voorkant zo'n stomp voording en bovenop hebben die één 
B: 	ja één balk rechts en link 
A: 	zo'n raar 
B: 	ja en dan link helemaal links aan de zijkant nog een balk 
A: 	nog één zo'n dinge 
A: 	ja oké 
B: 	ja 
A: 	dan zijn het nummer veertien 
A: 	ja dit zijn dat ding met twee ding zo bovenop 
A: 	één gewoon zo'n recht balk en die soort kegel die een beetje schuin staan 
B: 	en dan links dat armp 
A: 	ja en dan dat armp en die rond neus vooraan 
B: 	ja 
B: 	ja dat zijn N 
B: 	zijn dit nou weer die cactus 
B: 	met dat armp links bovenop een kegel en een balk en voor die neus 
B: 	nee nee dat zijn weer een ander 
B: 	links hebben die zo'n armp met een driehoek 
B: 	en dan bovenop hebben die links een kegel die schuin staan 
A: 	ja ik weten welk het zijn 
A: 	en dan dat balk en dan dat rond ervoor 
B: 	ja 
A: 	ja 
A: 	nummer negen 
A: 	dit zijn dat poppe met dat rond ding voor links één zo'n driehoekarmpje en die kegel en dat recht dinge bovenop zijn hoofd 
B: 	met twee dinge op zijn hoofd 
A: 	ja die kegel die zo'n beetje schuin staan 
B: 	ja 
B: 	ja 
B: 	G 
B: 	volgens mij zijn die twee geleden met die dat kegel naar links en dat kegel bovenaan dat iets naar links staan en dat balk 
A: 	met dat rond voor 
B: 	ja 
A: 	oké nummer vijf 
A: 	ja dat poppe met die schuin kegel op zijn hoofd en dat recht blok 
A: 	en dan nog dat armp link 
B: 	ja J 
