A: 	deze hebben eigenlijk een soort van ja hoed dus een hoe heten zoiets ? een driehoek 
A: 	eigenlijk helemaal bovenaan 
B: 	ja 
B: 	en dan hebben die nog zo'n staart en nog een blok 
A: 	ja en twee van die rond althans één rond zien je goed helemaal onderaan 
B: 	ja oké dan zijn het J 
B: 	dit zijn die met dat piramide op zijn hoofd die het rond hoed 
A: 	ah ja 
A: 	die driehoek 
B: 	ja 
A: 	toch ? ja oké nummer zes 
A: 	dit zijn met dat hoed die driehoek 
B: 	dat zijn E 
B: 	dit zijn met dat met dat hoed dat driehoek op zijn hoofd 
A: 	ja oké dat zijn nummer tien 
A: 	dit zijn met dat hoed die driehoek 
B: 	ja 
B: 	dat zijn G 
B: 	dit zijn met het het driehoekig hoed 
A: 	dat zijn nummer tien 
