A: 	bij deze misgaan er zeggen maar door het basisfiguur gaan zo'n groot staaf doorheen 
A: 	en aan de achterkant zitten zo'n vierkant er schuin aan vast waar nog zo'n 
B: 	soort van pedaal 
A: 	ah ja ja soort van petaal pedaal erachter ja 
B: 	okee 
B: 	ja ja ja voor de rest kunnen je hem volgens mij ook niet echt omschrijven 
A: 	ja kloppen ja 
B: 	dat zijn vrij vrij basic deze 
A: 	ja 
B: 	ja 
B: 	dan zijn het m 
B: 	deze zijn die dat dat pedaal weten je wel 
B: 	die die dat soort van 
A: 	ja met die met die ja met die stang erdoorheen 
B: 	met die met die twee kegel aan de zijkant 
B: 	ja met die stang doorheen ja 
A: 	ja 
B: 	ja 
A: 	dat zijn zestien 
A: 	deze zijn weer met dat petaal pedaal er achterop 
A: 	waar zeggen maar die die staaf doorheen opsteken en die pedaal erachter 
B: 	ja ja ja 
B: 	ja dat klein staaf aan de linkerkant en aan de rechterkant die steken iets ver uit 
A: 	ja ja 
B: 	ja okee dat zijn p 
B: 	dit zijn die dit zijn dat wel met dat pedaal weten je wel 
B: 	en die twee kegel aan de aan de onderkant 
A: 	aan de zijkant 
A: 	ja dat zijn zeven 
B: 	ja 
A: 	dit zijn met dat petaal petaal er weer achterop 
B: 	sorry 
A: 	het pedaal achterop zeggen maar 
B: 	ah okee ja ja ja 
A: 	ja 
A: 	sorry ik kunnen het even niet uitspreken 
B: 	dat maken niet uit 
B: 	dat zijn l 
A: 	ik kunnen het 
B: 	dit zijn de het pedaal met de kegel 
A: 	ja acht 
