A: 	ja dit zijn met de superscherp punt aan de bovenkant 
A: 	en aan de voorkant ja ook een soort van kubus maar niet een gelijk kubus aan de rechterkant en dan aan de linkerkant dat ja 
A: 	ja puntachtig 
B: 	ja 
A: 	ja maar dan wel met vlak aan de buitenkant en dan linksonder nog een cirkel 
B: 	ja 
B: 	dat zijn J bij mij 
B: 	deze hebben zo'n driehoek aan de bovenkant 
B: 	en aan de voorkant soort van kubus maar dan bred aan de onderkant 
B: 	en dan link nog soort van klein punt 
B: 	pluimp en dan linksonder nog een cirkel 
A: 	ja dat zijn zes 
A: 	ja dit zijn die met die heel scherp driehoekpunt boven 
A: 	en die kubus 
A: 	ja niet die niet recht kubus en dat rond linksonder en dat punt link 
B: 	ja 
B: 	ja 
B: 	dat zijn E 
B: 	dit zijn die met die scherp driehoek aan de bovenkant 
B: 	kubus kubusachtig aan de voorkant 
B: 	cirkel en een pluimp 
A: 	ja 
A: 	dat zijn tien 
A: 	dit zijn met die superscherpe punt boven 
A: 	en die niet zo recht kubus aan de rechterkant en 
B: 	ja dat zijn G 
B: 	dit zijn die met die puntig driehoek aan de bovenkant 
A: 	ja 
B: 	en kubusachtig en cirkel en pluimpje 
A: 	ja dat zijn tien 
B: 	staart 
