B: 	deze hebben een heel lang uitsteeksel aan de onderkant een beetje zo'n draaien balk 
B: 	en dan zitten er twee kubus op en nog een balkje dat aan de een kant een recht kant hebben en aan de ander kant een schuin kant 
B: 	ja ook nog ja 
A: 	een driehoek door een gedraai draaien bocht die 
A: 	ja 
A: 	dat zijn zitten er ook nog drie stuk boven 
A: 	ja dat zijn vier 
B: 	ja dat zijn A 
A: 	en ja weer een mokje met drie ding erop en dan soort gaan een soort van spiraal naar beneden naar de driehoek 
A: 	een soort van een soort van uitsteeksel 
B: 	dit zijn wat jij een trofee noemen met dat gedraaide dinge eronder 
B: 	dat zijn L 
A: 	ah ja 
A: 	dat zijn tien 
B: 	dit zijn de trofee 
B: 	ja dat zijn F 
A: 	ik hebben zo ik hebben de beetje spaghetti weten je wel die cirkelspaghetti hoe noemen je dat ook alweer 
A: 	spaghetti hoe noemen je hem hoe moeten hoe moeten ik het noemen tenminste hij zijn er zitten een verlenging onder met een driehoek eronder 
A: 	hoe noemen je die spaghetti ook alweer 
A: 	ik kunnen hem ik kunnen hem nee maar er zitten een er zitten een vierkant er zitten een er zitten een kop en daar zitten een vierkant op een klein vierkant en een groot vierkant naast 
A: 	en er zitten een uitsteeksel aan en daaronder zitten een soort van het maken een soort van cirkel 
A: 	tenminste het maken een knikje 
A: 	het zijn geen cirkel maar maar het zijn geen cirkel maar het zijn een rechthoek die soort van draaien 
A: 	en dan daaronder zitten een driehoek 
A: 	die op de grond zitten 
A: 	ja die slurf maar hoe noemen je hoe noemen je dat ook alweer een soort van van spaghetti die dezelfde vorm maken als spaghetti 
A: 	of macaroni 
A: 	Macarconivorm 
A: 	die die die verlenging naar de driehoek 
A: 	hoe noemen je dat ook alweer 
A: 	ja spiraal zijn een goed woord denken ik om het te onthouden 
A: 	ah ja even kijken waar zitten die dan 
A: 	vier 
A: 	ja weer de spiraal met driehoek 
A: 	op de bodem 
