B: 	goed de volgen zijn een koffiebeker 
B: 	het hebben een een groot ronde cirkel als een soort van neus 
B: 	met daarbij twee vlechtjes die naar buiten steken 
B: 	dat zijn denken ik wel duidelijk welk dat zijn het staan op een een vierkant platform 
B: 	en het hebben nog twee ja wat zijn het 
A: 	rond boog 
B: 	rond boog die eraan vastzitten 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer vijf 
A: 	hoe noemen je deze ook alweer ? in ieder geval koffiekopje met vierkant onderzetter 
A: 	met de soort rond neus aan de voorkant 
B: 	met die dinge eruit 
A: 	de spiraaloor 
B: 	ja 
B: 	dat zijn letter J 
A: 	oké 
B: 	dat kop met zo'n rond neus en twee 
A: 	met de ei of 
B: 	nee dat plaat met die twee vlechtjesdingen aan de zijkant 
A: 	oké even zoeken zoeken zoeken 
A: 	ja de ja de raar vlechtjes 
B: 	ja 
A: 	dat zijn nummer elf 
A: 	jou spiraalvlecht 
B: 	ja 
B: 	letter P 
B: 	die spiraalvlecht 
A: 	ja 
A: 	nummer negen 
A: 	de vlecht 
B: 	de vlecht 
B: 	letter L 
