B: 	deze hebben een soort van het lijken op een soort van tafel wat erin zitten er zitten waarschijnlijk een vierkant in het kop en die hebben twee poot 
B: 	link een heel klein uitstulpsel ik vinden het op een tafel lijken 
A: 	ja het lijken op een tafel 
B: 	en er staan een soort van komme op of zoiets met een beetje fantasie 
A: 	ja zo'n vierkant rechthoekding staan erbovenop 
B: 	ja 
A: 	ja een tafel ja ja 
B: 	ja 
B: 	ja toch 
A: 	ja vinden ik ook 
A: 	dat zijn nummer twaalf 
A: 	deze zijn met die tafel met dat bak erop 
A: 	en dat die klein dinge nog links 
B: 	ja ja dat zijn c 
B: 	de tafel met een bak erop 
A: 	even zoeken daar ja dat zijn nummer twaalf 
A: 	dit zijn die met die tafel met dat bak erop 
B: 	ja dat zijn e 
B: 	de tafel met het het komme erop 
A: 	yes dat zijn een 
A: 	dit zijn met de tafel met het bak 
B: 	tafel en het bak tafel en het bak waar zijn je waar zijn je 
B: 	daar dat zijn i 
