A: 	ja nou moeten ik weer kop 
A: 	piramide erop 
A: 	soort van vierkantachtig maar net niet helemaal ding zitten er een beetje aan vastgelijmen rechts 
B: 	ha 
A: 	link een soort van wijnflesje die eruit opsteken en linksonder een cirkel 
B: 	ja 
B: 	dat zijn J 
B: 	dit zijn die met die piramide zullen ik maar zeggen op het kop 
A: 	ja 
B: 	en dan rechts dat soort vierkant wat niet helemaal een vierkant zijn en links die fles wijn 
B: 	en linksonder 
A: 	ja 
A: 	dat zijn nummer zes 
A: 	kop met de piramide 
A: 	en de de wijnfles aan de linkerkant 
B: 	ja ja 
A: 	en 
B: 	dat zijn E 
B: 	dat ding met dat piramide erop 
B: 	op het kop en dan rechts dat vierkant armp en links het wijnflesje 
A: 	ja nummer tien 
A: 	de piramide aan de bovenkant de wijnfles aan de linkerkant 
B: 	ja 
A: 	net niet vierkantje 
B: 	dat zijn G 
B: 	met het driehoek op het kop en links het wijnflesje erin en rechts het vierkant ding 
A: 	ik zijn hem aan het zoeken 
A: 	ja hebbes 
A: 	nummer tien 
