B: 	oké ik hebben ja het één wat ik zien zijn een beetje vogelachtig hij hebben bovenop een rechthoek 
A: 	ja 
B: 	aan de zijkant 
A: 	een soort vleugel aan de zijkant ja 
B: 	ja 
B: 	en dan aan de voorkant die 
A: 	zo'n soort neus of een bek en 
B: 	ja met dat steelt erbovenop 
A: 	ja ja 
B: 	ja 
A: 	ik hebben ook zo'n associatie 
A: 	dat zijn acht 
A: 	oké dit zijn die jij de vogel noemen en ik janen ik een beetje pinguïn want die hebben een beetje aan de zijkant van dat soort vleugelt en een raar bek 
B: 	ja ja 
B: 	ja ja ik hebben hem ik hebben hem 
B: 	dat zijn E 
B: 	dit zijn de Pinguïn vogel 
A: 	ja 
A: 	even kijken waar die staan 
A: 	ja dat zijn één 
A: 	ander plek 
A: 	dit zijn de pinguïn of de vogel zeggen maar 
B: 	ja 
B: 	ja dat zijn E 
B: 	dit zijn de vogel 
A: 	ja 
B: 	Pinguïn vogel 
A: 	even kijken dat zijn zestien 
A: 	dit zijn de pinguïn of de vogel zeggen maar 
B: 	ja dat zijn O bij mij 
