B: 	krom 
B: 	hebben hebben hij bovenin een soort driehoek waar dat ding doorheen steken 
B: 	ja ok dan zijn het M 
A: 	ik hebben er nu één met zo'n soort ruit erboven en van die vierkant aan de zijkant ernaast 
A: 	even ja die zitten eigenlijk achter die ruit en ervoor en aan de voorkant steken er nog zo'n staaf uit en er doorsteken ook nog aan de 
A: 	ja aan de onderkant zo'n soort zo'n staaf en aan de rechterkant zo'n staaf nog 
B: 	ja dit zijn weer diegene die zo'n hoek van negentig graad aanhangsel hebben onderin zeggen maar en die zitten er dan ook nog een keer aan de zijkant 
B: 	dan hebben je nog die staaf die uitsteekt en bovenin hebben je die diamant of zo of die die ruit waar dat 
B: 	waar dat ding doorheen gaan ja 
A: 	ja en dan zo'n staaf rechtsvoor zeggen maar 
A: 	en twee van die staaf één eronder en één rechts 
A: 	ja 
A: 	dat zijn nummer negen bij mij 
B: 	die 
B: 	o ja 
B: 	die ruit waar die blok 
B: 	ja doorheen gaan dan zijn dat H 
A: 	ik hebben nu die een met die soort ruit achter aan de bovenkant en die vierkant aan de zijkant 
A: 	en dan één zo'n ding aan de rechterkant zo'n uitsteeksel en één aan de onderkant en zo'n staaf ervoor 
A: 	bij mij liggen die heel ja 
A: 	ja die groot worden 
A: 	ja 
A: 	ja uit die ruit komen ja 
B: 	deze hebben bovenop die ruit die doorboren worden en dan aan de zijkant hebben je nog van die ding in zo'n hoek en aan de onderkant ook en dan nog zo'n staafje erbij 
B: 	ja 
B: 	ja dat zijn dan D 
B: 	dit zijn weer diegene met die ruit waar die blok doorheen gaan zo'n uitsteeksel aan de onderkant dezelfde zitten aan de zijkant en een soort staaf die uitsteken 
A: 	vierkant erdoorheen 
A: 	ja 
B: 	ja 
A: 	ja 
A: 	nummer elf zijn dat bij mij 
A: 	ik hebben nu die een met die soort ruit met die vierkant die groot worden aan de zijkant 
A: 	daarachter zeggen maar 
A: 	en die uitsteeksel één aan de onderkant en één rechts 
A: 	dat zijn bij mij nummer veertien 
