A: 	er zitten een plat rond aan de rechterkant 
A: 	plat cirkel zegmaar 
A: 	en aan de linkerkant steken een dik staaf uit die die ja beetje dik naar dun lopen zegmaar zo 
A: 	en dan zitten er nog een soort van trompe komen eruit 
A: 	uit die linker staaf 
A: 	of ja veel zo'n ding wat zo gaan 
A: 	ja 
A: 	ja 
B: 	plat rond aan de 
B: 	ja 
B: 	en met een een ster en een sterrenkijkerachtig ding toch 
B: 	ja 
B: 	dat zijn bij mij d 
A: 	ja 
A: 	die trompetje-achtig 
A: 	wat naar achter schieten 
A: 	ja 
A: 	zes 
B: 	deze hebben een rechts van het figuur een plat cirkel 
B: 	en link omschrijven je het als een soort van hartjeachtig vorm met een sterrenkijker erin 
B: 	die spiest de har 
B: 	ja ja ja 
A: 	dit zijn met het trompetter dat zijn dan links hebben je die zo'n dik staaf en daar komen die trompetter uit en aan de rechterkant hebben je nog een een plat cirkel 
A: 	ja 
A: 	ja 
B: 	ja ja dat zijn k 
A: 	ja ik hebben hem 
A: 	veertien 
B: 	dit zijn de de de de hart Hartjesstaaf en een verrekijker 
B: 	sterrekijker 
B: 	dat zijn vijf 
B: 	ja dat zijn g 
A: 	dat nee dat trompetter zeggen maar aan de zijkant 
B: 	de hartjesvormig staaf en de sterrenkijker 
A: 	ja 
A: 	negen 
