A: 	oké bovenop zitten een bolle 
A: 	en er staan een er zijn een nog een heel smal maar wel lang ja 
A: 	paal een paal eigenlijk die ervoor staan en twee cilinder steken eigenlijk aan de 
B: 	ja 
B: 	zeggen maar poppetje alsof die iets gaan omhelzen 
A: 	ja nou ja inderdaad 
B: 	zoiets ja oké nee dan zijn het zijn het D 
A: 	ja 
A: 	ja 
B: 	dit zijn een poppe wat een balk omhelsten met bovenin ook een cirkel op het hoofd 
B: 	of op het figuurt 
A: 	ja 
A: 	vijftien 
A: 	die hebben we al een keer hebben volgens mij toch 
B: 	ja 
A: 	dit zijn de omhelzing 
A: 	met het ei bovenop 
B: 	ja dat zijn L 
B: 	de het omhelzen poppet zijn dit 
A: 	zes 
A: 	de omhelzing 
B: 	de omhelzing J 
B: 	de omhelzing 
A: 	ja drie 
