A: 	ja negen 
A: 	deze hebben dat dat vierkant erdoorheen met die twee poo 
B: 	eens even kijken horen deze zijn weer wat abstracter 
B: 	want hier aan de bovenkant van het kop gaan er weer een soort vlak doorheen 
B: 	waar twee poo aan zitten 
B: 	en aan de achterkant zitten er een een soort staar aan 
B: 	en een soort trapeziumfiguur staan erop 
B: 	ja 
A: 	ja 
A: 	vijf 
B: 	ja okee dat zijn I 
A: 	dit zijn die met het vierkant met die poo 
A: 	erdoorheen 
A: 	met de poo 
A: 	vijf 
B: 	deze heef het vlak erdoorheen met de twee poo en het trapezium erbovenop 
A: 	dit zijn het tafel met poo 
B: 	ja eens even kijken waar staan die 
B: 	dat zijn f 
B: 	dit zijn de de tafel met de poo en het trapezium 
B: 	ja dat zijn m 
