A: 	even kijken horen 
A: 	okee dus zijn die even groot ongeveer zijn dat twee blok 
A: 	en daarboven zitten zijn een soort als in een koffiefiltervorm 
A: 	een plat staaf plat staaf bovenop 
A: 	ah 
A: 	het zijn gewoon een balk het zitten er liggen een soort balkje op 
A: 	zijn dat het 
A: 	en als je hem omdraaien zijn het een soort van alsof je alsof je thee schenken weten je wel zo'n theepot 
A: 	zo'n tuit zitten dat er link 
A: 	of bedoelen je die niet 
A: 	even kijken horen 
A: 	ja maar wat bedoelen je daarmee 
A: 	ah 
A: 	bloempot die 
A: 	staan die hiertussen bij mij ? wachten even hoor 
A: 	er liggen een balk op het komme 
A: 	okee 
A: 	ja 
A: 	ah ja ja 
A: 	okee we hebben het wel over dezelfde denken ik 
A: 	okee ja nee dan weten ik hem denken ik vijfteen 
B: 	hopen ik 
B: 	ja 
B: 	ik zien het als R2D2 zo'n rond kop met twee van die voet links of armp hoe je het ook willen kijkgen eens naar mij zo dit zo die hand 
B: 	zo houden hij ze aan de beide zij van zijn lijf en zijn hoofd zijn langwerpig 
B: 	het zijn dus een kop 
B: 	met aan de linkerkant een dinge en aan de rechterkant een dinge , ja ik vinden het als twee armpjes eruit zien , hebben je enig idee wat ik dan bedoelen 
B: 	ja of die liggen horizontaal op hem 
B: 	precies ja 
A: 	ja dit zijn die moeilijk die we daarnet moeilijk vinden omdat jij hem omschreef als een booster en ik als een omgekeerd theepot 
A: 	met dat balkje bovenop 
A: 	ja 
A: 	de theepot 
A: 	nummer zestien 
B: 	ja die zitten toch ja zo zien ik het een beetje zo toch 
B: 	zijn op gelijk hoogte van elkaar maar dan ander kant 
B: 	dat zijn P 
A: 	dit zijn mijn theepot en jou booster 
A: 	de theepot slash Raketbooster waar staan die nummer negen 
B: 	poppe met de armpjes 
B: 	de horizontaal balk op zijn kop 
B: 	ja 
A: 	dit zijn de omgekeerd theepot en voor jou dan met dat raket 
B: 	K 
B: 	poppe met twee armp 
B: 	en een paal op zijn kop 
B: 	N 
