A: 	okee hier zitten heel veel ding aan vooral aan de bovenkant zitten een een ruitvorm met iets erdoorheen 
B: 	ja 
B: 	ja okee 
B: 	dat zijn b ja dat zijn b 
A: 	ja vijf 
A: 	dit zijn die heel ingewikkelde met die ruit aan de bovenkant die doorboord zijn met een staaf 
B: 	deze hebben dat die ruit er aan de bovenkant zitten met die twee vier kubus aan beide kant en een buigen poo eronder 
B: 	ja inderdaad ja 
A: 	achten 
A: 	dit zijn die met die ruit bovenop die met waar een ding doorheen zitten 
B: 	ja 
B: 	eens even kijken dat zijn j 
A: 	ja vijf 
B: 	deze hebben de halter 
B: 	ja 
B: 	met het krom poo aan de onderkant 
B: 	dat zijn l 
B: 	dit zijn de halter 
B: 	met dat draaien vierkan 
