Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	dat in dat rek	13	A	17, 29
2	4	dit zijn weer in	5	A	29, 33
3	3	in dat rek	17	A	17, 29, 33
2	3	aan de bovenkant	12	A	6, 17
2	3	ja dit zijn	13	A	17, 29
2	2	dat zijn	19	A	14, 32
2	2	ja precies	11	A	10, 20
2	2	rek hangen	22	A	8, 29
8	1	ja	23	A	9, 10, 17, 18, 20, 27, 29, 31
6	1	dat	20	A	14, 17, 19, 29, 32, 33
6	1	zijn	22	A	12, 14, 17, 29, 32, 33
4	1	en	27	A	7, 11, 19, 33
4	1	in	26	A	8, 17, 29, 33
3	1	het	22	A	8, 12, 29
3	1	precies	11	A	10, 12, 20
2	1	de	12	A	6, 17
2	1	je	10	A	8, 17
2	1	oké	4	A	29, 32
2	1	sure	15	A	13, 27
2	1	twee	26	A	7, 32
2	1	weten	6	A	12, 17

