B: 	het zijn die een die een soort van schoorsteen aan de zijkant hebben en hij hebben twee 
B: 	link 
B: 	gaan ik even over 
B: 	hij zijn bijna horizontaal en dan gaan die recht omhoog 
B: 	maar dat zijn niet het belangrijk hij hebben twee punt bovenop 
B: 	dan hebben die een soort van slurf naar beneden 
B: 	en er zitten een vlak doorheen 
B: 	ja wel wel 
A: 	yes 
A: 	oeh ja die zijn 
A: 	ja 
A: 	die dus die zitten iets hoog dan dan halverwege zitten die 
A: 	zitten dat zitten die plaat 
A: 	ja en er liggen ook een bak op zeggen maar 
A: 	op die plaat 
A: 	oké 
A: 	dan zijn het voor mij 
A: 	ja toch 
A: 	hij hebben die die die plaat hebben zeggen maar twee poot en een bak erop 
A: 	ja 
A: 	laag dan het gemiddeld van het kop zeggen maar 
A: 	ja 
A: 	oké dan weten ik hem 
A: 	ja kloppen 
A: 	oké super 
A: 	dat zijn dan voor mij nummer zes 
B: 	ja ik moeten even met dat vlak erin 
B: 	ja C 
B: 	ja het lijken weer op zo'n bikinibroekhuis met zo'n slurf aan de voorkant en het vlak erin 
B: 	ze lijken allemaal op bikinibroekhuis 
B: 	ja 
A: 	dit zijn de de de de de ballerina 
A: 	dus die hebben zo'n rok zeggen maar halverwege zijn de plank 
A: 	de twee uitsteekselt ja 
B: 	ik weten welk je bedoelen maar waar zijn die 
B: 	ja ik hebben hem vinden 
B: 	het zijn J 
A: 	ja 
A: 	ah daar staan ze 
A: 	ik noemen ook ze 
A: 	nummer dertien 
A: 	erg 
B: 	het zijn die met dat vlak erdoorheen 
B: 	of 
A: 	ik hebben de ballerina 
B: 	ja N 
A: 	ja nummer negen 
A: 	de ballerina zijn die van jou 
