B: 	ik vinden dit best wel op een mens lijken 
B: 	een kop en dan twee ja afkappink aan de zijkant naar buiten die als oor kunnen dienen een staaf rechtsvoor 
B: 	met een dubbel onderop en een ja vierkant langwerpig dinge bovenop 
B: 	kijken maar naar dat vierkant langwerpig dinge bovenop 
A: 	ja ah en dan aan de zijkant die die oor die zitten dan een beetje laag en aan de voorkant zo'n neus met een gek rond en zo'n 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	oké ja 
B: 	die ja 
A: 	oké acht 
A: 	even kijken 
A: 	hoe hebben we die noemen 
A: 	ja jij hebben die uitleggen maar ik weten 
A: 	ja ik hebben het als een soort raket uitleggen maar dat zijn heel dom maar echt je hebben aan de jij hebben het als de mens uitleggen met die oor die heel laag zitten en de neus en 
B: 	een raket 
B: 	ja ja ja ja ja met dat vierkant dinge bovenop 
A: 	Blok bovenop ja 
A: 	dus we noemen het menshanenkam of zo 
B: 	ja 
B: 	een hanenkam 
A: 	dat vierkant ding vinden ik wel een hanenkam 
B: 	hanenkam vinden ik een goed 
A: 	ja prima 
B: 	E 
B: 	hanenkam 
A: 	hanenkam yes 
A: 	één 
A: 	de hanenkam 
B: 	oeh oeh 
B: 	met de met de neus en de oor 
A: 	ja 
B: 	ja E 
B: 	de hanenkam 
A: 	de hanenkam zestien 
A: 	ja shit 
A: 	de hanenkam 
B: 	ja 
