B: 	yes 
A: 	one's dit zijn een weer zo'n koffiemok waar een lepeltje recht omhoogsteekken 
A: 	en er lijken aan de achterkant een soort van theetuitje te zitten van een theekan 
A: 	en er zitten een soort hengsel aan met vierkant blok die groot zijn en steeds klein worden 
B: 	ja 
B: 	dan weten ik welk je bedoelen bij mij zijn dat nummer E 
B: 	ik hebben soort van een een een traanvormig uitsteeksel aan de linkerzijde 
B: 	achterzijde veel met een recht hoek erin 
B: 	bovenin zitten dezelfde type uitsteeksel als aan de linkerkant zitten 
B: 	en aan de rechterkant zitten uitsteeksel die blok die dan taps toelopen richting de basisvorm 
B: 	het zijn allemaal klein vierkantjes die dan een soort wolkenkrabber legotoar vormen 
A: 	die 
A: 	en dat zijn die waar het het ja ik noemen het maar een koffielepel maar recht omhoogsteekt en er lijken een soort van tui aan de achterkant te zitten 
B: 	ja 
B: 	ja 
B: 	ja en in principe zeggen maar wat jij het lepeltje noemen 
A: 	ja 
B: 	dat datzelfde vormp zitten aan de linkerzijde evenzo 
A: 	ja kloppen 
A: 	ja dat zijn nummer elf hier 
A: 	dit zijn zeggen maar de koffiemok waar één lepeltje aan de bovenkant uit komen en aan de rechterkant een handvat zitten met blok waarbij die van groot naar klein lopen 
B: 	ja 
A: 	aan de linkerkant dezelfde lepel zitten als die er recht uit opsteken en zo'n tui aan de achterkant 
B: 	even zien 
B: 	waar staan die 
B: 	en hij hebben de twee twee blok of één 
A: 	nee 
A: 	één 
A: 	alleen aan de rechterkant zitten dat handvat met die groot naar klein 
B: 	alleen aan de rechterkant ah ja 
B: 	en dan ja dat zijn bij mij nummer J 
A: 	ja 
B: 	ik hebben degeen waarbij de uitsteeksel boven en links hetzelfde zijn 
B: 	rechterkant uitsteeksel met blok die taps toelopen en aan de achterkant een soort raar wokkel daarin 
B: 	veel herkenbaar vorm zijn denken ik toch gewoon die die de bovenkant dat uitsteekselding en links zijn van dezelfde grootte 
B: 	zijn dus dezelfde vorm die boven uitsteken ook aan de linkerkant en dan de balk de Blokkubus die dan toelopen rechts 
A: 	ja ja met die theetuit 
B: 	ja 
A: 	ja nummer negen 
A: 	dit zijn de mok waar aan de rechterkant die van groot naar klein lopen blok zitten 
B: 	ja 
A: 	daarboven steken een lepeltje uit die daar eigenlijk ook links uit lijken te steken en zo'n tui 
B: 	ja 
B: 	ja 
B: 	yes nummer B 
A: 	oké 
B: 	of letter B 
B: 	ik hebben degeen met de gelijk uitsteeksel 
B: 	links en boven en dan dat blokkig ding aan de rechterkant en dat blok 
A: 	ja 
A: 	nummer vier 
