A: 	nu hebben ik een vierkant ik denken dat het een soort van bollet zijn die hebben ik als neus zien met zo'n stok erdoorheen 
A: 	met zo'n pluk 
A: 	ja 
A: 	oké 
B: 	ja aan de voorzijde allebei dat bolle en die staaf 
B: 	ok dan zijn het F 
A: 	ja de neuspiercing 
A: 	zijn bij mij links hebben je ook zo'n slinger van vijf zijn het de bovenste 
A: 	sorry 
A: 	het zijn vijf 
B: 	deze hebben zegmaar zo'n ballonnetje uitstekend aan de bovenkant aan de voorkant zitten een bol die doorboren zijn met een staaf 
B: 	met zo'n rond aan de rechterkant ja 
A: 	ik hebben degeen met de piercing de neus met dat ding erdoorheen 
A: 	ja 
A: 	vijf 
B: 	ja A 
A: 	dit zijn degeen met de neuspiercing 
B: 	ballonne eruit en dan zo'n bol vooraan met zo'n staaf er doorheen met dat rond 
B: 	ja met die cirkel aan de rechter uitein 
B: 	ja die doorbooren zegmaar ja H 
A: 	ja 
A: 	dat zijn vijftien 
B: 	met dat ballonne er in en dat bolle aan de voorkant wat doorboord zijn en dan zitten er rechts nog zo'n rond 
