A: 	deze hebben twee dezelfde rechthoeken aan de rechterkant zitten die eruit steken 
A: 	en er zitten dus maar een lampenkap bovenop het kop 
B: 	ja ja 
A: 	en nog een twee ding aan de de de linkerkant een stok en een poo 
B: 	ja 
B: 	dat zijn bij mij n 
B: 	deze hebben aan de rechterkant twee staaf onder elkaar bovenop een een kom die op zijn kop staan 
A: 	ja zo'n lampenkapding 
B: 	of lampenkap ja ja 
A: 	ja 
A: 	en dan links nog twee 
B: 	ja 
A: 	ja 
B: 	ja 
A: 	okee dat zijn nummer twaalf 
A: 	deze hebben twee rechthoeak aan de zijkant identiek boven elkaar en een lampenkap erbovenopen nog twee uitsteeksel aan de linkerkant een poo en een stok 
B: 	ja 
B: 	ja 
B: 	zoiets 
A: 	zoiets 
B: 	dat zijn e 
B: 	rechts twee staaf boven elkaar en de op zijn kop of de lampenkap de lampenkap 
A: 	yes nummer zes 
A: 	deze hebben twee van die rechthoekstokjes boven elkaar aan de rechterkant met de lampenkap bovenop 
B: 	ja dat zijn m 
B: 	de twee staaf rechts en de lampenkap bovenop 
A: 	yes dat zijn elf 
