A: 	ja deze dat vinden ik een raar je hebben zeggen maar drie handvat soort van 
A: 	hè ? als je het als koffiekopje beschouwen en één ja soort van kegelachtig ding dat er recht bovenin insteekt en dan hebben je die handvat 
B: 	yes 
A: 	die naar boven gaan zijn dezelfde als die de 
A: 	en dan hebben je een soort van krommink erachter en een vierkant die steeds dikk worden 
A: 	aan aan de zijkant 
B: 	ja 
B: 	dan weten ik welk je bedoelen bij mij zijn dat nummer E 
B: 	ik hebben soort van een één een traanvormig uitsteeksel aan de linkerzijde 
B: 	achterzijde veel met een recht hoek erin 
B: 	Bovenin zitten dezelfde type uitsteeksel als aan de linkerkant zitten 
B: 	en aan de rechterkant zitten uitsteeksel die blok die dan taps toelopen richting de basisvorm 
B: 	het zijn allemaal klein vierkant die dan een soort wolkenkrabber legotoar vormen 
B: 	ja 
B: 	ja 
B: 	ja en in principe zeggen maar wat jij het lepel noemen 
B: 	dat datzelfde vormp zitten aan de linkerzijde Evenzo 
A: 	aan de rechterkant en dat 
A: 	ja dat zijn elf 
A: 	die drie handvaa 
A: 	en bovenop dezelfde als die aan de zijkant zitten 
A: 	aan de rechterkant de vierkant die groot worden en het golfje linksachter 
B: 	ja 
B: 	even zien 
B: 	waar staan die 
B: 	en hij hebben de twee twee blok of één 
B: 	alleen aan de rechterkant ah ja 
B: 	en dan ja dat zijn bij mij nummer J 
A: 	gaan wat te snel joh 
A: 	ja 
A: 	nummer negen 
B: 	ik hebben degeen waarbij de uitsteeksel boven en link hetzelfde zijn 
B: 	rechterkant uitsteeksel met blok die taps toelopen en aan de achterkant een soort raar wokkel daarin 
B: 	veel herkenbaar vorm zijn denken ik toch gewoon die die de bovenkant dat uitsteekselding en links zijn van dezelfde grootte 
B: 	zijn dus dezelfde vorm die boven uitsteken ook aan de linkerkant en dan de balk de blokkubus die dan toelopen rechts 
B: 	ja 
A: 	drie handvat en die een handvat zijn hetzelfde als dat ding erbovenop 
A: 	ja nou de bovenste dat vinden ik veel een soort lepeltje 
A: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	yes nummer B 
B: 	of letter B 
A: 	ja nummer vier 
B: 	ik hebben degeen met de gelijk uitsteeksel 
B: 	links en boven en dan dat blokkig ding aan de rechterkant en dat blok 
