B: 	aan de het linkerkant en de rechterkant zitten drie soort van bollet niet helemaal bollet maar precies hetzelfde ja 
A: 	ja 
A: 	oké ik denken dat ik hem al weten 
A: 	het 
A: 	ja 
A: 	ja ja ja 
A: 	dat zijn elf 
B: 	aan beide 
B: 	ja ja 
B: 	J 
A: 	ja dit zijn die zegmaar weer die op zo'n plaat 
A: 	of zegmaar ja zo'n plaat 
A: 	dienblad 
A: 	ja precies met die hendel en 
B: 	ik hebben de met die twee die twee gelijkwaardig soort van bollet aan de aan de beide kant 
B: 	en zo'n plaat eronder 
B: 	ja ja drie van die bollet aan de beide zijkant 
B: 	die drie bollet aan de zijkant 
B: 	plaat eronder 
B: 	ja ja ja e 
A: 	ja dat zijn ja gewoon die dat dat dienbladen ja 
A: 	ja precies vier ja 
B: 	J 
B: 	ik hebben die drie bollet aan de linker en de zijkant rechterkant 
A: 	ja dit zijn weer dat gene met het dienblad 
B: 	ja 
B: 	f 
A: 	ja 
A: 	ja precies dat met die hendel dat zijn dertien 
A: 	dit zijn weer dienblad 
