B: 	deze hebben een heel lang uitsteeksel aan de onderkant een beetje zo'n gedraaide balk 
B: 	en dan zitten er twee kubus op en nog een balk dat aan de een kant een recht kant hebben en aan de ander kant een schuin kant 
A: 	en een driehoek eronder 
B: 	ja ook nog ja 
A: 	oké 
A: 	vier zijn dat 
A: 	dit zijn weer met die draaien balk ik vinden het een trofee en die en die twee kubus en dan opsteken er link nog iets klein uit en onder zitten een driehoek 
B: 	ja dat zijn A 
B: 	dit zijn wat jij een trofee noemen met dat draaien dinge eronder 
A: 	ja dat zijn tien 
A: 	dit zijn de trofee 
B: 	dat zijn L 
B: 	dit zijn de trofee 
A: 	die staan ja vier 
A: 	dit zijn de trofee 
B: 	ja dat zijn F 
