A: 	dit zijn net diegene die ik beschrijven met die bowlingkegel op zijn kop 
A: 	en zo'n ander bowlingkegel naar de linkerkant 
A: 	en aan de achterkant zitten een soort worm 
A: 	en aan de rechterkant zitten een soort wolkenkrabber 
B: 	ja dan hebben ik hem 
B: 	dat zijn bij mij E 
B: 	dit zijn die met heel veel uitsteeksel dus hij hebben bovenop een een rondachtig cilinder 
B: 	ook naar voren links 
B: 	en dan hebben die nog aan de zijkant zo'n blok die steeds groot worden 
A: 	ja 
B: 	en aan de achterkant nog zo'n pijp 
A: 	ja 
A: 	dat zijn nummer elf 
A: 	dit zijn die een raar weer met die kegel aan de bovenkant kegel aan de linkerkant dat blokjesding aan de rechterkant en die pijp aan de achterkant 
B: 	een een pijp aan de achterkant 
A: 	kegel bovenop 
B: 	ja ja ja heel die uitsteeksel 
A: 	ja met die vier 
B: 	ja 
B: 	dat zijn bij mij J 
B: 	dit zijn met die vier uitsteeksel dus die uitlaat linksachter 
B: 	kegel bovenop 
B: 	kegel linksvoor en een blokkig ding rechtsvoor 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	dit zijn die een met die raar kegel en het pijp en de blok 
B: 	ja dat zijn B 
B: 	de vier lang uitsteeksel dus de twee kegel de pijp aan de achterkant en de blok aan de voorkant 
A: 	ja 
A: 	zijn nummer vier 
