B: 	deze hebben een plaat erdoorheen aan de een beetje aan de bovenkant en twee poo eronderuit 
B: 	vinden ik het lijken 
B: 	en er staan een soort van omgekeerd driehoek afronden bovenop 
B: 	ja dat vinden ik ook een picknicktafel 
B: 	ja 
A: 	ja 
A: 	po aan 
A: 	ja ja ja 
A: 	ja ja ja 
A: 	zestien zijn dat bij mij 
B: 	oké 
B: 	ja nou dit zijn P laugh 
A: 	dit zijn een kop met 
A: 	met een soort van een tafel erdoorheen geschoven met die twee uit uitstekend ding aan dat plateau zeggen maar 
A: 	en dan zitten er nog een soort van kuipje bovenop en een slangetje achter 
B: 	oké ik hebben de picknicktafel 
B: 	oké 
B: 	ja even zoeken 
B: 	ja dat zijn N 
A: 	ja ja 
A: 	veertien 
B: 	ik hebben een picknicktafel 
B: 	ja 
B: 	ja dat zijn D 
A: 	dit zijn met die plank aan de bovenkant erdoorheen smeten zeggen maar met twee van die 
A: 	po eruit en dan weer zo'n ja waarschijnlijk hebben je hem al 
A: 	tien 
A: 	dit zijn met die met die plank aan de bovenkant erdoorheen gespiest met zo'n 
A: 	oplopen kubusiet en twee poo 
