B: 	dit zijn de enig die soort van been en voet hebben 
A: 	ja 
A: 	ja het voet zijn zo'n driehoek 
B: 	ja 
A: 	ja 
A: 	lijken een beetje op een vogel vinden ik 
B: 	ja 
A: 	dertien 
A: 	ja dit zijn dan ja de vogelachtig figuur met een klein staart , één poot en de de driehoekvorm als als voet of als 
B: 	een voet ja 
B: 	ja en een staart link 
A: 	staart link en een soort vleugel in het midden en dan aan de rechterkant een soort kop 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn A 
B: 	dit zijn die vogel kip 
A: 	ja 
A: 	nummer twee 
A: 	dit zijn de vogel 
A: 	met één been 
B: 	ja ik zoeken hem 
B: 	ja dat zijn K 
B: 	dit zijn de vogel 
A: 	ja nummer twee 
A: 	dit zijn de vogel 
B: 	J 
