A: 	ja even kijken er zitten een rond bal achterop zeggen maar aan de bovenkant en aan de zijkant hebben die twee soort van handvaat en aan de voorkant een 
A: 	ja precies 
B: 	ja 
B: 	zeggen maar poppe alsof die iets gaan omhelzen 
B: 	zoiets ja oké nee dan zijn het zijn het d 
A: 	ja 
A: 	en met de handjes aan de zijkant 
A: 	ja 
A: 	oké 
A: 	vijftien 
B: 	dit zijn een poppe wat een balkje omhelsen met Bovenin ook een cirkel op het hoofd 
B: 	of op het figuur 
B: 	ja 
A: 	hoe noemen we deze ook alweer ? die met die grijparmp met de bol bovenop 
A: 	en de vierkant blok 
A: 	hoe gaan we die noemen 
A: 	prima basketbal 
B: 	ja dat zijn L 
A: 	de basketbal dat zijn met die armp aan de zijkant ook ja 
A: 	dat zijn zes 
B: 	de het omhelzen poppet zijn dit 
A: 	even kijken welk zijn dat de basketbal 
B: 	de omhelzing J 
A: 	basketbal dat zijn drie 
B: 	de omhelzing 
