A: 	deze hebben een soor ja ik vinden het best lastig een beetje ISS International Space Station achtig bovenop 
A: 	met zo'n vierkan zo met de 
B: 	zo'n ruit 
A: 	ja zo'n ruit met de punt erin en dan twee 
B: 	ja 
B: 	en dinget eruit 
A: 	precies en dan aan de voorkant nog aan de zijkant en aan de onderkant 
B: 	ja 
B: 	en aan de onderkant 
B: 	ja ja dat zijn M bij mij 
A: 	ja precies 
A: 	nou gaan lekker 
B: 	ja toch 
B: 	weer die met die sellight achterop 
A: 	met de wat 
B: 	met met die sellight dat ruit dat ruit dat er een soort van in zitten met die met die legoblokje die er zo 
A: 	ja 
A: 	ja ja ja 
B: 	en met dat toe en dan zo zo'n arm van onder 
A: 	even kijken ja ja 
A: 	nummer negen 
B: 	ja 
B: 	oké 
A: 	ja 
A: 	oké 
A: 	nou weer met het space station bovenop waar het diamantvormpje zo erin opsteken 
B: 	oké 
B: 	yes en dan dat haak zo eronder 
A: 	precies 
B: 	de H bij mij 
B: 	dan weer de space station 
A: 	ja 
B: 	met de armp 
A: 	waar zijn die ? elf 
A: 	oké nou dit zijn weer space station bovenop 
B: 	space station dat zijn de D 
A: 	en het fliebel onderaan 
B: 	worden zo snel 
A: 	makkelijk makkelijk 
B: 	weer de space station 
A: 	space station veertien 
