B: 	dit zijn deze hebben een plaat eronder 
B: 	en twee van twee van die staaf met driehoek of ruit 
A: 	ah 
A: 	ja ik vinden het een beetje zo Pippi Langkousvlechtjes 
B: 	ja ik denken aan antenne of iets dergelijk ja 
A: 	ja 
A: 	oké dan zijn het nummer vijf 
A: 	dat zijn die een met die Pippi Langkousvlechtjes 
B: 	ja 
B: 	dat zijn J 
B: 	dit zijn met die Pippi Langkousstaartjes 
A: 	even kijken dat zijn nummer elf 
A: 	dit zijn met die Pippi Langkous 
A: 	staart 
B: 	oké 
B: 	dat zijn P 
B: 	dit zijn met de Pippi Langkousstaartjes 
A: 	dat zijn nummer negen 
A: 	dit zijn met de Pippi Langkous 
B: 	dat zijn L 
