A: 	ik hebben die een met die groot pijl links aan de linkerkant dus hij hebben aan de linkerkant een uitsteeksel en daar staan een soort pilaar op nog 
A: 	die aan de bovenkant steeds bred worden 
B: 	ja ja die ja die eigenlijk het hoog zijn van bijna van al 
A: 	ja 
B: 	ja okee 
B: 	n 
B: 	ja 
B: 	ik hebben dat heel langwerpig pijlt weer die Linksbovenin 
B: 	die eigenlijk het hoog zijn van alles 
A: 	ja 
A: 	dertien 
A: 	ik hebben de een dat het hoog zijn van alles 
A: 	die pijl 
B: 	ja p 
A: 	heel opvallen 
B: 	die ik hebben die die die pijl die heel hoog zitten Linksbovenin 
A: 	ja 
A: 	dertien 
A: 	ik hebben die een dat het hoog zijn van alles die links pijl aan de bovenkant 
B: 	ja i 
B: 	dat dat dat wijsding dat linksboven helemaal hoog uitsteken 
A: 	het hoog ding zeggen maar 
B: 	ja het hoog ding ja 
A: 	elf 
