B: 	en hebben die nog twee van die 
B: 	oké dan zijn het d 
A: 	deze ik vinden hem zelf een beetje lijken op een op een waterpomp 
A: 	ik noemen hem zelf de waterleiding want er gaan zo'n leidinkje in en die komen dan aan de ander kant lijken die er ook weer uit te uitkomen 
A: 	en er staan zo'n blok voor 
A: 	ja 
A: 	ja 
A: 	ja ja ja ja 
A: 	ja 
A: 	ja die 
A: 	moeten je wel eerst zeggen welk nummer 
B: 	deze hebben de bol bovenop 
B: 	ja 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ik weten welk je bedoelen 
A: 	met met zo'n raar met zo'n met dat blok ervoor 
A: 	ja 
A: 	dat zijn numero vijftien 
B: 	zijn 
B: 	zijn L 
B: 	deze zijn weer met die bol bovenop en die staaf ervoor 
B: 	dat zijn bij mij J 
B: 	met die bal bovenop en die dat blok ervoor 
A: 	dit dit zijn zijn met die waterleiding mijn pompje 
A: 	ja 
A: 	ja ik gaan hem even opzoeken 
A: 	dat zijn numero zes 
A: 	ja mij mijn waterding 
A: 	mijn waterleiding 
A: 	pomp 
A: 	je bedoelen ja ja de waterleiding ja 
A: 	numero drie 
