A: 	en hij staan 
A: 	en hij staan op een vierkant ding ja ok vijf 
B: 	ja eigenlijk deze hebben zeggen maar twee van die uitsteeksel eigenlijk een beetje Pippi Langkousvlechten 
B: 	en dan een ronde ja plaat daarvoor 
B: 	en zeggen maar het staan ook op een plaat 
B: 	en aan de achterkant staan zeggen maar nog twee bog 
B: 	ja ja ja 
A: 	deze hebben weer die kralenketting aan de zijkant en een vierkant 
A: 	dienbladen ja en een rond schijf 
B: 	ah ja 
B: 	J 
A: 	elf 
B: 	dit zijn die Pippi Langkous 
A: 	met het vierkant schijf en die kralenketting ding en dat rond schijf 
B: 	ja 
B: 	ja 
B: 	P 
A: 	negen 
A: 	met die kralenketting en dan met dat dienblad er onder en 
B: 	Pippi Langkous 
B: 	L 
