B: 	ja nu zijn ik weer het zijn ja eigenlijk het zijn zeggen maar het zitten eigenlijk zitten er een plaat in het midden 
B: 	en eigenlijk lijken het een beetje op een glijbaan 
B: 	tenminste ik zullen het en dan zitten er ja het zijn dat kop dus met de plaat in het midden 
B: 	en boven staan eigenlijk twee punt 
A: 	even kijken hoor 
B: 	of twee streep eigenlijk 
A: 	ja en zitten er ook nog zeggen maar zo'n ding 
B: 	zullen een 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	zes 
A: 	volgens mij omschrijven jij die als glijbaan 
B: 	ah ja 
B: 	C 
B: 	dit zijn die glijbaan 
A: 	waar staan je ook alweer eens ? glijbaan glijbaan glijbaan waar staan je ook alweer eens 
A: 	waarom zien ik hem nou niet ? ja met die driehoek Erboven ja 
B: 	ja 
A: 	zes 
A: 	de glijbaan 
B: 	glijbaan waar zijn je 
B: 	ah 
A: 	ons eigen taal ontwikkelen 
B: 	J 
B: 	dit zijn de glijbaan 
A: 	ja 
A: 	negen 
A: 	de glijbaan 
B: 	ah ja 
A: 	je weten nog welk het zijn 
B: 	ja 
A: 	oké 
B: 	N 
