B: 	oké jij moeten raden nou 
B: 	ik hebben een rood vierkant en ik moeten dat uit gaan doorleggen 
A: 	oké en en ik hebben gewoon zestien dinget 
B: 	nee 
B: 	ja jij hebben niks omheen staan 
A: 	ja 
B: 	ik hebben als omschrijving een een koek wat je in de koffie dopen 
B: 	dus misschien dat je daar wel iets uit zullen kunnen halen 
B: 	met een beetje fantasie 
A: 	zitten er ook een lepeltje in 
B: 	ja er zitten een lepeltje in en 
A: 	en een soort cilinderachtig ding aan de zijkant 
B: 	ja het zijn een bijzonder bijzonder handvat inderdaad 
A: 	ja 
A: 	hebben die ook een smal onderkant waar die op staat 
B: 	ja hebben een smal onderkant 
A: 	oké dan dan denken ik dat ik hem wel weten 
B: 	ik denken dat je de 
A: 	dat zijn nummer dertien 
B: 	moeten jij doordrukken 
A: 	ik hebben de het koffiekoek 
B: 	ja 
A: 	met de smal onderkant 
B: 	duidelijk 
B: 	dat zijn letter O 
A: 	ze zijn weer veranderen 
B: 	het ja 
B: 	ik zien het inderdaad ik moeten even opnieuw schakelen 
A: 	dus 
A: 	ja 
B: 	koek in de koffie 
B: 	met een lepeltje 
A: 	het rond koek 
B: 	ja 
A: 	even kijken waar staan je ook alweer ? ja daar 
A: 	dat zijn nummer acht 
A: 	het rond koffiekoekje 
B: 	ja 
B: 	met een lepeltje 
A: 	ja 
B: 	en een raar oor 
A: 	ja een raar onderkant 
B: 	dat zijn letter C 
B: 	koffiekopje met koekje 
B: 	rond koekje 
A: 	het rond koek 
B: 	ja 
A: 	hebbes 
A: 	nummer zeven 
A: 	koffiekoekje 
B: 	koffiekoekje dat ronde 
A: 	ja 
B: 	waar staan die ook alweer 
B: 	letter C 
B: 	dat zijn hem 
